,Heading,Subheading,Publisher,Published,Found
0,"Sturm, Ruger &amp; Company, Inc. (NYSE:RGR) Hits New 12-Month Low at $41.90 - MarketBeat","Sturm, Ruger & Company, Inc, together with its subsidiaries, designs, manufactures, and sells firearms under the Ruger name and trademark in the ...",www.marketbeat.com,2024-06-17 14:52:09,2024-06-18 15:21:57
1,"Sturm, Ruger &amp; Company, Inc. (NYSE:RGR) Hits New 12-Month Low at $41.90 - MarketBeat","Sturm, Ruger & Company, Inc, together with its subsidiaries, designs, manufactures, and sells firearms under the Ruger name and trademark in the ...",www.marketbeat.com,2024-06-17 19:52:09+00:00,2024-06-19 17:12:15
2,"Sturm, Ruger &amp; Co., Inc. (RGR) may enjoy gains as insiders got busy in the recent days","Sturm, Ruger & Co., Inc.'s filing revealed that its Director ROSENTHAL AMIR unloaded Company's shares for reported $75250.0 on Jun 05 '24.",knoxdaily.com,2024-06-20 07:31:30+00:00,2024-06-20 10:12:08
3,The Potential Rise in the Price of Assurant Inc (AIZ) following insiders activity - Knox Daily,"unloaded Company's shares for reported $1.66 million on May 21 '24. In ... Sturm, Ruger & Co., Inc. (RGR) may enjoy gains as insiders got busy in ...",knoxdaily.com,2024-06-19 19:33:20+00:00,2024-06-20 10:12:08
4,"MARKET PULSE-Time Warner, Trulia, DreamWorks, Sturm Ruger, JC Penney | Reuters","Procter & Gamble Co's quarterly profit fell less than expected and full-year's earnings should rise at least as much as last year, indicating the ...",www.reuters.com,2024-06-22 00:55:52+00:00,2024-06-22 10:12:10
5,Sturm Ruger First Quarter 2023 Earnings: EPS: US$0.81 (vs US$1.72 in 1Q 2022),We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company ...,uk.movies.yahoo.com,2024-06-21 19:43:21+00:00,2024-06-22 10:12:10
6,"BUZZ-U.S. STOCKS ON THE MOVE-Tesla, Chipotle, gun makers, casino operators","** STURM RUGER & CO INC $61.06, +2.43 pct. Gun makers' shares rose as U.S. President Barack Obama will take his case for new gun control measures ...",www.reuters.com,2024-06-21 15:32:53+00:00,2024-06-22 10:12:10
7,Supreme Court ruling takes bump stocks out of ATF ban - MSN,"Sturm, Ruger & Company: True Value Stock But The Buybacks Fail To Deliver- Sturm, Ruger & Company, Inc. (RGR) Q1 2024 Earnings Call Transcript ...",.google.com,2024-06-21 03:26:35+00:00,2024-06-22 10:12:10
8,(RGR) Investment Analysis - Stock traders daily,"Sometimes Stocks Move Fast, and Sturm Ruger & Company Inc. RGR is no Exception.",news.stocktradersdaily.com,2024-06-24 22:47:19+00:00,2024-06-25 09:12:20
9,Hartford Citizen Patrol Presents Dilemmas for Gun-Grabbing Democrats - Firearms News,"Ruger Reintroduces Marlin Model 1895 Trapper Lever-Action Rifle ... Sturm, Ruger & Company, Inc. KelTec ...",www.firearmsnews.com,2024-06-26 07:37:22+00:00,2024-06-26 10:12:03
10,US Surgeon General Calls Gun Violence A Public Health Issue - Benzinga,"Price action: Sturm & Ruger Company, Inc. RGR+0.14%. + Free Alerts. ticked up 0.05% in Tuesday's early-morning trading, while Smith & Wesson Brands ...",www.benzinga.com,2024-06-26 05:04:37+00:00,2024-06-26 10:12:03
11,"[Trends ] Service Handgun Market Analysis and Revenue Prediction | CZUB, FN HERSTAL, Ruger","CZUB, FN HERSTAL, Ruger, Sturm, SIG SAUER, and GLOCK GmbH among others. ... Adroit Market Research is an India-based business analytics and consulting ...",.google.com,2024-06-26 04:40:55+00:00,2024-06-26 10:12:03
12,Cwm LLC Raises Stock Holdings in Nokia Oyj (NYSE:NOK) - Defense World,"Cwm LLC Buys 108 Shares of Simpson Manufacturing Co., Inc. (NYSE:SSD)- NEXT HEADLINE ». Cwm LLC Purchases 877 Shares of Sturm, Ruger & Company, Inc.",www.defenseworld.net,2024-06-25 14:31:06+00:00,2024-06-26 10:12:03
13,Automatic Weapons Market Rapidly Gaining Traction in Key Business Segments - WhaTech,"... Company (United States), BAE Systems plc (United Kingdom), FN ... Sturm, Ruger & Co., Inc. (United States. Geographically, the detailed ...",www.whatech.com,2024-06-26 19:10:30+00:00,2024-06-27 03:12:23
14,"Küçük Silah Pazar Payı, Yükselen Trendler ve 2032'ye Kadar Gelecekteki Talep - Haber Radikal","Top Companies Listed in Small Arms Market are: Kalashnikov Group (Russia); Smith & Wesson Brands Inc. (U.S.); Sturm, Ruger & Co., Inc. (U.S.) ...",.google.com,2024-06-26 15:46:23+00:00,2024-06-27 03:12:23
